Line,Identifier 1,block,Identifier 2,delta.O18,delta.H2,sd.O18,sd.H2,d.Excess,sd.d.Excess
1,HGL-0,1,NA,NA,NA,NA,NA,NA,NA
2,DML,1,NA,-42.34427753348345,2.0000000000000013,0.3028675871215897,1.33897934774369e-16,340.7542202678676,2.4229406969727174
3,TD1,1,NA,-33.896220546587365,2.000000000000001,0.05832262442866086,0,273.1697643726989,0.4665809954292869
4,JASE,1,NA,-50.25324162250848,2.000000000000001,0.14301571092560936,0,404.02593298006786,1.1441256874048749
5,F4-01,NA,NA,-44.278961017753325,2.000000000000001,0.05303273843035281,0,356.2316881420266,0.4242619074428225
6,F4-02,NA,NA,-44.01713007245858,2.000000000000001,0.00878531121166144,0,354.1370405796686,0.07028248969329152
7,F4-03,NA,NA,-43.32859597591743,2.000000000000001,0.024826709467749886,0,348.62876780733944,0.1986136757419991
8,F4-04,NA,NA,-43.06604100182449,2.000000000000001,0.030422976471311942,0,346.5283280145959,0.24338381177049553
9,F4-05,NA,NA,-43.31527677298398,2.000000000000001,0.0020922936294789363,0,348.5222141838718,0.01673834903583149
10,F4-06,NA,NA,-43.312081638663564,2.000000000000001,0.02077669235147323,0,348.4966531093085,0.16621353881178583
11,F4-07,NA,NA,-42.95593385289873,2.000000000000001,8.270114135208305e-4,3.1401849173675503e-16,345.64747082318985,0.006616091308166644
12,F4-08,NA,NA,-42.86412850327634,2.0000000000000004,0.012752827450445786,0,344.9130280262107,0.10202261960356629
13,F4-09,NA,NA,-43.29137717791493,2.0000000000000004,0.012821451342085328,0,348.33101742331945,0.10257161073668263
14,F4-10,NA,NA,-44.24366332339641,2.0000000000000004,0.014519582264014584,0,355.9493065871713,0.11615665811211667
15,F4-11,NA,NA,-45.43876626740681,2.0000000000000004,0.03708607356088572,0,365.5101301392545,0.29668858848708574
16,F4-12,NA,NA,-46.39259367527338,2.0000000000000004,0.02846105761357807,0,373.14074940218705,0.22768846090862457
17,F4-13,NA,NA,-46.62680181509618,2.0000000000000004,0.04135889730585483,0,375.01441452076944,0.33087117844683867
18,F4-14,NA,NA,-46.22122559151565,2.0000000000000004,0.006731693428126228,0,371.7698047321252,0.05385354742500982
19,F4-15,NA,NA,-45.21551912172126,2.0000000000000004,0.014758688024788278,0,363.72415297377006,0.11806950419830622
20,F4-16,NA,NA,-43.992768690092596,2.0000000000000004,0.03785433782391625,0,353.94214952074077,0.30283470259133
21,DML,2,NA,-42.587968557082576,2.0000000000000004,0.013958499833727208,0,342.7037484566606,0.11166799866981766
22,NGT,2,NA,-33.928499679996094,2.0000000000000004,0.08235948902374181,0,273.42799743996875,0.6588759121899345
23,JASE,2,NA,-50.24672113091671,2.0000000000000004,0.16426960178222585,0,403.9737690473337,1.3141568142578068
24,F4-17,NA,NA,-42.906303021020534,2.0000000000000004,0.03403255092079117,0,345.2504241681643,0.27226040736632934
25,F4-18,NA,NA,-42.27249490181525,2.0000000000000004,0.03185049077985739,0,340.179959214522,0.2548039262388591
26,F4-19,NA,NA,-42.287326071888714,2,0.020719605866060486,3.1401849173675503e-16,340.2986085751097,0.1657568469284839
27,F4-20,NA,NA,-43.058317456149204,2,0.013669778114115872,0,346.46653964919363,0.10935822491292697
28,F4-21,NA,NA,-44.39468342770906,2,0.024466529018746824,0,357.1574674216725,0.1957322321499746
29,F4-22,NA,NA,-45.63753730783924,2,0.01564935898985211,0,367.1002984627139,0.12519487191881687
30,F4-23,NA,NA,-46.28484412832936,2,0.011993891766076702,0,372.2787530266349,0.09595113412861361
31,F4-24,NA,NA,-46.2778397077257,2,0.017823143089345347,0,372.2227176618056,0.14258514471476277
32,F4-25,NA,NA,-46.07323181746869,2,0.023343109831444525,0,370.5858545397495,0.1867448786515562
33,F4-26,NA,NA,-46.069066533821164,2,0.014951576285663673,0,370.5525322705693,0.11961261028530938
34,F4-27,NA,NA,-46.377161028509825,2,0.014907325586467082,0,373.0172882280786,0.11925860469173666
35,F4-28,NA,NA,-46.82975502704635,2,0.035738390189020995,0,376.6380402163708,0.28590712151216796
36,F4-29,NA,NA,-47.121217874779425,2,0.003229426573209041,0,378.9697429982354,0.02583541258567233
37,F4-30,NA,NA,-46.69006725617271,1.9999999999999998,0.027562709194704983,1.5700924586837752e-16,375.5205380493817,0.22050167355763986
38,F4-31,NA,NA,-45.82832148318535,1.9999999999999998,0.035922391665796125,0,368.6265718654828,0.287379133326369
39,F4-32,NA,NA,-44.78636834274446,1.9999999999999998,0.023582289162005443,0,360.2909467419557,0.18865831329604354
40,DML,3,NA,-42.54284153826408,1.9999999999999998,0.021580774967819183,0,342.3427323061126,0.17264619974255346
41,TD1,3,NA,-33.8093875162141,1.9999999999999998,0.06571180164946407,0,272.4751001297128,0.5256944131957125
42,JASE,3,NA,-50.16278616603848,1.9999999999999998,0.14659082856407255,0,403.30228932830784,1.1727266285125804
